IsROS,IsCybersecurity,IsThreat,IsMitigation,Spoofing,Tampering,Repudiation,Information Disclosure,DoS,Elevation  of Privilege,Item Title,Abstract,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Attention-enhanced BiLSTM-ANN framework with CNN-based feature selection for advanced threat detection,"The rapid growth of the Internet of Things (IoT) devices has led to a surge in cyber threats, making it crucial to develop advanced Intrusion Detection Systems (IDS) to safeguard network security and reliability. This research presents an intelligent IDS framework designed to enhance threat detection in IoT environments. The core idea behind this work is that integrating deep learning techniques, such as convolutional neural networks (CNNs) for feature extraction, attention-based bidirectional long-short-term memory (BiLSTM) for analyzing time-based patterns, and artificial neural networks (ANNs) for classification can significantly enhance the accuracy and efficiency of IDS. The proposed approach follows a structured methodology, starting with the handling of class imbalance using a hybrid method that combines Adaptive Synthetic Sampling (ADASYN) and One-Sided Selection (OSS) techniques. Additionally, feature selection is employed using CNNs to extract the most relevant features while eliminating redundant information, thereby optimizing computational efficiency. Next, BiLSTM, enhanced with an attention mechanism, is employed to capture sequential dependencies in network traffic data, ensuring accurate detection of cyber threats. Finally, ANNs are utilized to classify network traffic as normal or malicious, allowing the system to adapt effectively to diverse cyberattack patterns. Extensive evaluations were conducted using benchmark IDS datasets, including NSL-KDD and UNSW-NB15, to assess the effectiveness of the framework. The experimental results demonstrate that the proposed model achieves a remarkable 99% accuracy on the NSL-KDD dataset and 94% accuracy on the UNSW-NB15 dataset, outperforming existing IDS approaches. Furthermore, the model effectively addresses critical challenges such as class imbalance and high false positive rates, making it a promising solution to strengthen IoT security.",International Journal of Machine Learning and Cybernetics,,,,10.1007/s13042-025-02948-8,Mohammed TayebiSaid El Kafhali,2026.0,https://link.springer.com/article/10.1007/s13042-025-02948-8,Article
True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dimensional e $$\textsf{ROS}$$ ion: Improving the&#xa0; $$\textsf{ROS}$$ Attack with&#xa0;Decomposition in&#xa0;Higher Bases,"We revisit the polynomial attack to the \(\textsf{ROS}\) problem modulo p from [6]. Our new algorithm achieves a polynomial time solution in dimension \(\ell \gtrsim 0.726 \cdot \log _2 p\), extending the range of dimensions for which a polynomial attack is known beyond the previous bound of \(\ell > \log _2p\).",Theory of Cryptography,,,,10.1007/978-3-032-12296-4_11,Antoine JouxJulian LossGiacomo Santato,2026.0,https://link.springer.com/chapter/10.1007/978-3-032-12296-4_11,Conference paper
False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,An Approach Based on&#xa0;LLMs for&#xa0;Forensic Threat Detection in&#xa0;Autonomous Systems,"In a world where interaction between humans and robotic systems is increasingly common, cybersecurity is essential to protect the integrity of both. Security measures to protect humans from possible accidents or cyber-attacks on a robotic system are essential. However, after an unexpected event, whether caused by a system malfunction or the influence of a malicious actor, it must be possible to explain what happened. In this paper, we propose to combine the fields of explainability and cybersecurity by exploring the potential of an explainability system in robotics based on LLMs as a forensic tool. We performed a denial of service attack on the mobile robot’s controller. After, we analyzed the logs generated by the robot using the proposed explainability system. The results obtained show that this system can detect the presence of a potential threat affecting the robot’s behavior.",International Joint Conferences,,,,10.1007/978-3-031-75016-8_3,David Sobrín-HidalgoIrene González-FernándezMiguel Ángel González-SantamartaAdrián Campazas-VegaClaudia Álvarez-AparicioÁngel Manuel Guerrero-HiguerasFrancisco Javier Rodríguez-LeraVicente Matellán-Olivera,2024.0,https://link.springer.com/chapter/10.1007/978-3-031-75016-8_3,Conference paper
False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cybersecurity for autonomous vehicles against malware attacks in smart-cities,"Smart Autonomous Vehicles (AVSs) are networks of Cyber-Physical Systems (CPSs) in which they wirelessly communicate with other CPSs sub-systems (e.g., smart -vehicles and smart-devices) to efficiently and securely plan safe travel. Due to unreliable wireless communication among them, such vehicles are an easy target of malware attacks that may compromise vehicles’ autonomy, increase inter-vehicle communication latency, and drain vehicles’ power. Such compromises may result in traffic congestion, threaten the safety of passengers, and can result in financial loss. Therefore, real-time detection of such attacks is key to the safe smart transportation and Intelligent Transport Systems (ITSs). Current approaches either employ static analysis or dynamic analysis techniques to detect such attacks. However, these approaches may not detect malware in real-time because of zero-day attacks and huge computational resources. Therefore, we introduce a hybrid approach that combines the strength of both analyses to efficiently detect malware for the privacy of smart-cities.",Cluster Computing,,,,10.1007/s10586-023-04114-7,Sana AurangzebMuhammad AleemMuhammad Taimoor KhanHaris AnwarMuhammad Shaoor Siddique,2023.0,https://link.springer.com/article/10.1007/s10586-023-04114-7,Article
False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Augmented Intelligence Framework for Human–Artificial Intelligence Teaming in Cybersecurity,"As cyberattacks grow more complex and frequent, organisations and nations face critical challenges in safeguarding their information systems and sensitive data. Recognising the limitations of traditional, solely human-centric defences, there is increasing agreement among practitioners and researchers on the need for a collaborative approach that integrates human intelligence with artificial intelligence (AI). This paper introduces the cybersecurity Augmented Intelligence Framework (cAIF), a conceptual framework designed to optimise human-AI teaming (HAIT) in cybersecurity. Augmented intelligence is about the role of AI enhancing rather than replacing human intelligence through a more harmonious working relationship. The methods followed consist of three phases. First, reviewing existing literature to identify foundational human–machine interaction (HMI) paradigms. A systematic review of papers from three databases led to a final selection of 20 analysis units. Second, the strengths and weaknesses of the identified paradigms for HAIT were evaluated. Lastly, outlining the core architectural components of the cAIF from the strengths of each paradigm. Six key HMI paradigms were identified: Human-in-the-loop (HITL), Human-out-of-the-loop (HOOTL), Human-on-the-loop (HOTL), Human-alongside-the-loop, Human-in-command, and Coactive Systems. Each paradigm offers unique strengths: for instance, HITL emphasises active and direct human intervention, while HOOTL supports full autonomy of AI operations. On the other hand, HOTL balances AI autonomy with human oversight. The analysed data suggests that strategically leveraging the strength of each paradigm allows for a hybrid intelligent framework comprising five core components: the Decision-Making Matrix, Paradigm Allocation Engine, Task-Specific Modules, Feedback and Learning System, and Interoperability Framework. The cAIF shows promise in enhancing human-AI collaboration, integrating human insights with AI capabilities to improve resilience and adaptability against evolving cyber threats. Future research should focus on empirically validating the cAIF in various cybersecurity domains, including healthcare and finance.",Human-Centric Intelligent Systems,,,,10.1007/s44230-025-00103-8,Masike Malatji,2025.0,https://link.springer.com/article/10.1007/s44230-025-00103-8,Article
True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ROS package search for robot software development: a knowledge graph-based approach,"In recent years, ROS (Robot Operating System) packages have become increasingly popular as a type of software artifact that can be effectively reused in robotic software development. Indeed, finding suitable ROS packages that closely match the software’s functional requirements from the vast number of available packages is a nontrivial task using current search methods. The traditional search methods for ROS packages often involve inputting keywords related to robotic tasks into general-purpose search engines (e.g., Google) or code hosting platforms (e.g., GitHub) to obtain approximate results of all potentially suitable ROS packages. However, the accuracy of these search methods remains relatively low because the task-related keywords may not precisely match the functionalities offered by the ROS packages. To improve the search accuracy of ROS packages, this paper presents a novel semantic-based search approach that relies on the semantic-level ROS Package Knowledge Graph (RPKG) to automatically retrieve the most suitable ROS packages. Firstly, to construct the RPKG, we employ multi-dimensional feature extraction techniques to extract semantic concepts, including code file name, category, hardware device, characteristics, and function, from the dataset of ROS package text descriptions. The semantic features extracted from this process result in a substantial number of entities (32,294) and relationships (54,698). Subsequently, we create a robot domain-specific small corpus and further fine-tune a pre-trained language model, BERT-ROS, to generate embeddings that effectively represent the semantics of the extracted features. These embeddings play a crucial role in facilitating semantic-level understanding and comparisons during the ROS package search process within the RPKG. Secondly, we introduce a novel semantic matching-based search algorithm that incorporates the weighted similarities of multiple features from user search queries, which searches out more accurate ROS packages than the traditional keyword search method. To validate the enhanced accuracy of ROS package searching, we conduct comparative case studies between our semantic-based search approach and four baseline search approaches: ROS Index, GitHub, Google, and ChatGPT. The experiment results demonstrate that our approach achieves higher accuracy in terms of ROS package searching, outperforming the other approaches by at least 21% from 5 levels, including top1, top5, top10, top15, and top20.",Frontiers of Computer Science,,,,10.1007/s11704-024-3660-9,Shuo WangXinjun MaoShuo YangMenghan WuZhang Zhang,2024.0,https://link.springer.com/article/10.1007/s11704-024-3660-9,Article
False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unmasking the Vulnerabilities: A Deep Dive into the Security Threat Landscape of Humanoid Robots,"In the modern age, with the expanding utilization of robots across various sectors from defense and domestic applications to research, industrial, and medical settings, the demand for robot development and manufacturing has increased. However, this growth brings out significant concerns: How secure is our robotics ecosystem from threat actors? This article delves into the potential vulnerabilities of humanoid robots, examining them from the perspective of these actors, providing a unique insight into the challenges these machines face. Central to this discussion is the alarming revelation that even individuals without knowledge of a humanoid robot’s architecture might achieve unauthorized access. They could potentially control and manipulate these robots using various techniques: decoding Wi-Fi passwords, intercepting and deciphering network traffic packets, employing both manual and automated exploitations, and even conducting post-exploitation manipulations. Furthermore, the use of anti-forensics techniques after an exploitation can create significant challenges for robot forensic investigators, making the detection of evidence and traces of such intrusions even more difficult. This study offers a detailed examination of offensive strategies targeting humanoid robots, highlighting potential entry points and vulnerabilities that could be exploited. By shedding light on these vulnerabilities, the article underscores the importance of protecting the robotics ecosystem to ensure its adaptability against malicious activities.",Proceedings of International Conference on Recent Innovations in Computing,,,,10.1007/978-981-97-2839-8_19,Yash PatelParag H. Rughani,2024.0,https://link.springer.com/chapter/10.1007/978-981-97-2839-8_19,Conference paper
True,True,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,Defending Against APT Attacks in Robots: A Multi-phase Game-Theoretical Approach,"In this work, we propose a two-phase game-theoretic framework to model and defend against Advanced Persistent Threat (APT) attacks in Autonomous Ground Robots (AGRs) running a ROS2-based autonomy stack for safety-critical navigation. In our scenario, the attacker seeks to penetrate the autonomous navigation system and take control over the AGR, causing it to crash into obstacles or fail in its navigation mission, potentially causing catastrophic damage. We use an attack tree abstraction to break the APT attack into two phases and analyze it using appropriate game-theoretical models and solutions to determine the optimal defense strategy for the defenders. For the first phase, we propose a variation of the popular cut-the-rope (CTR) security model by extending it to a probabilistic setting in which applying a spot-check at a given attack tree node does not necessarily result in a “cut” of the “rope”. We model this attack tree based on a curated library of real-world exploits in robotic systems and potential security measures that can counter these exploits. We show that this formulation admits a unique mixed Nash Equilibrium (NE) and determines the optimal defense policy for the first phase. Next, we address the scenario in which the defense mechanisms against the APT attack have failed to prevent the attacker from reaching the safety-critical target node in the network and the robotic asset is commandeered. We equip the robot system with a data-driven end-point Anomaly Detection System (ADS) that monitors the robot odometry data and detects anomalous entities being injected into the autonomy stack. We model this phase of the attack using a two-player zero-sum game where the defender needs to select optimal thresholds for the ADS monitor to balance the need for detecting data-poisoning attacks quickly while minimizing the possibility of false alarms and the attacker needs to select the intensity of the attack for the opposing objectives. We use experiments on a Nova Carter AGR running a Nav2-based autonomy stack within a Secure-ROS2 (SROS2) framework to inform the second-phase game-theoretic model and demonstrate the attack and defense mechanisms.",Decision and Game Theory for Security,,,,10.1007/978-3-031-74835-6_14,Asim ZoulkarniSai Sandeep DameraM. S. Praveen KumarJohn S. Baras,2025.0,https://link.springer.com/chapter/10.1007/978-3-031-74835-6_14,Conference paper
True,True,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,The Security Analysis of ROS2 Communication,"With the increasing use of robots in various fields, the importance of communication security between robots and their components has become a pressing concern. As the primary development framework for robot applications, ROS2 is replacing ROS1 at a rapid pace, and its security issues have direct implications for the security of robot systems. This paper presents an exploration and study of the communication security issues of ROS2 by combining CIA triad with the ROS2 communication mechanism. We propose the fundamental security requirements of the ROS2 system under different communication mechanisms and provide formal modeling and definition. Moreover, we classify and analyze network attacks at the ROS2 level and implement a tool, ROS2Tester, to conduct modeling the ROS2 formal security modules, penetration testing and evaluating the security of ROS2 systems.",Security and Privacy in Communication Networks,,,,10.1007/978-3-031-64954-7_7,Shuo YangHongru LiJian Guo,2025.0,https://link.springer.com/chapter/10.1007/978-3-031-64954-7_7,Conference paper
True,True,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,Inference of access policies through static analysis,"Robot Operating System 2 (ROS 2) is the de-facto standard framework for developing distributed robotic applications. However, ensuring the correctness and security of these applications remains a significant challenge. This paper presents a novel approach to statically analyze ROS 2 applications using abstract interpretation. By extracting the architecture graph of the application, our method derives minimal access control policies that can be used to leverage security. We implemented our approach using the Library for Static Analysis (LiSA), providing a toolset that facilitates the development of sound static analyzers for ROS 2. The results demonstrate the effectiveness of our approach in enhancing the security of ROS 2 applications.",International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-024-00777-8,Giacomo ZanattaGianluca CaiazzaPietro FerraraLuca Negrini,2024.0,https://link.springer.com/article/10.1007/s10009-024-00777-8,Article
False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Data engineering for sustainable agriculture: developments, challenges, and case studies of a novel IoRT architecture","In recent years, the integration of Internet of Things (IoT) and Robotics has advanced agro-ecological practices. Despite numerous solutions for specific farming applications, a comprehensive reference architecture that addresses the diverse data management and operational requirements of agro-ecology remains absent. This paper introduces a concept of novel architecture for an Internet of Robotic Things (IoRT) system designed to manage the voluminous, real-time, and heterogeneous data in agricultural applications. By leveraging existing frameworks and technologies, this architecture aims to provide robust data management, ensure data quality, and support sustainable farming practices. The proposed architecture is demonstrated through case studies, which show its applicability and efficiency in real-world scenarios. This work is aimed at providing a guideline for researchers and engineers in developing and implementing smart farming solutions with Big Data, IoT and Robotics.",Journal of Big Data,,,,10.1186/s40537-025-01253-z,Sandro BimonteGianni BellocchiFrançois PinetGérard ChalhoubMahmoud SakrPiotr Skrzypczyński,2025.0,https://link.springer.com/article/10.1186/s40537-025-01253-z,Article
False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Automatic Software Vulnerability Detection in&#xa0;Binary Code,"Cybersecurity is critical in today’s digital world, where the severity of threats from software vulnerabilities grows significantly each year. Many techniques have been developed to analyze vulnerabilities in source code. However, source code is not always available (for example, most industry software is closed-source). As a result, analyzing vulnerabilities in binary code becomes necessary and more challenging. This paper presents a novel approach called BiVulD for detecting vulnerabilities at the binary level. BiVulD has three phases: generating assembly language instructions, learning good embeddings, and building a prediction model. First, we create a database of vulnerable binaries using CVE and NVD. Next, we propose using codeBERT to obtain good embeddings. Finally, we apply a bidirectional LSTM on top of codeBERT to build the predictive model. To demonstrate BiVulD’s effectiveness, we compared it with several baselines, including source code-based, binary code-based, and machine learning-based techniques on real-world projects. The experimental results show that BiVulD outperforms the baselines and can detect more vulnerabilities. For instance, BiVulD achieves at least 20% improvement in Precision, Recall, and F-measure. We believe this work will serve as a foundation for future research in vulnerability detection using only binary code.",Machine Learning for Cyber Security,,,,10.1007/978-981-96-4566-4_11,Shigang LiuLin LiXinbo BanChao ChenJun ZhangSeyit CamtepeYang Xiang,2025.0,https://link.springer.com/chapter/10.1007/978-981-96-4566-4_11,Conference paper
False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,An Initial Risk Assessment for Multimodal with LSTM-Based Trust Evaluation Framework for Autonomous Vehicle Security,"This research aims to develop a new approach to increase the safety and reliability of Autonomous Vehicle (AV) through the proposed risk assessment framework, supported by the trust evaluation approach derived from a machine learning algorithm. This work proposes a comprehensive risk assessment model with real-time sensor data, Vehicle-to-Vehicle (V2V), key communication reliability, environmental cognition, and Improved Long Short-Term Memory (I-LSTM). This framework is multidimensional compared to most conventional models, focusing primarily on assessing individual threat factors. Here, the machine learning portion is designed to evaluate and predict trust by quickly processing vast amounts of information from sensors, signals, and prior operation history. Such an approach to trust assessment enables the system to continuously evaluate the dependability of automated vehicle operation and identify threats to security with improved accuracy. The effectiveness of the performance of this method is substantiated by a number of stand-alone and live scenarios, where the model's performance is higher in perceiving possible risks, avoiding threats, and enhancing safety than the conventional approaches. The findings suggest that the safety regulations of the AVs will be improved by using a multi-dimensional risk assessment model and integrating the I-LSTM trust rating with 95.5% accuracy, 96.7% risk identification, and 180 ms response time. This will cause AV and its surrounding environment to be accepted by the public and used on the roads.",SN Computer Science,,,,10.1007/s42979-025-03703-0,P. N. RenjithS. BalasubramaniK. RameshEswar Patnala,2025.0,https://link.springer.com/article/10.1007/s42979-025-03703-0,Article
