IsROS,IsCybersecurity,IsThreat,IsMitigation,Spoofing,Tampering,Repudiation,Information Disclosure,DoS,Elevation  of Privilege,Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ASSA-CPS: Automated Formal Safety and Security Assessments in Cyber-Physical Systems,E. -Y. Kang,"Software Engineering, University of Southern Denmark, Odense, Denmark",2023 7th International Conference on System Reliability and Safety (ICSRS),2024-01-08,2023.0,,,518.0,522.0,"This paper describes dissemination and exploitation of the ASSA-CPS industrial research project: Providing both safety and security assessments in emerging technologies, i.e., Cyber-Physical Systems (CPS), is of increasing importance since they are inextricably intertwined. Incorrectly configured and improperly deployed systems are exposed to security threats, and this raises issues in terms of safety. Security vulnerabilities and risks often cause safety hazards. Therefore, safety and security assessment must be considered in combination when companies develop systems to be deployed in wider society. The main idea of this project is to provide companies with a formal approach combining safety and security assessments in a systematic and automatic manner to support the development of trustworthy software systems. Thus, stakeholders become rapidly aware of potential safety and security risks involved in the system development at an earlier stage and apply relevant safety and security protection technologies.",,979-8-3503-0605-7,10.1109/ICSRS59833.2023.10381141,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10381141,Safety;Security;Software Verification;Model-Driven Engineering,Systematics;Companies;Cyber-physical systems;Software systems;Hazards;Safety;Security,,5.0,,27.0,IEEE,2024-01-08,22-24 Nov. 2023,22-24 Nov. 2023,IEEE,IEEE Conferences
False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A distributed laboratory architecture for game based learning in cybersecurity and critical infrastructures,J. Cano; R. Hernández; S. Ros; L. Tobarra,"Department of Communication and Control Systems, National Distance Education University (UNED), Madrid, Spain; Department of Communication and Control Systems, National Distance Education University (UNED), Madrid, Spain; Department of Communication and Control Systems, National Distance Education University (UNED), Madrid, Spain; Department of Communication and Control Systems, National Distance Education University (UNED), Madrid, Spain",2016 13th International Conference on Remote Engineering and Virtual Instrumentation (REV),2016-03-31,2016.0,,,183.0,185.0,"This paper shows a design based on distributed architectures for a remote laboratory to learn cybersecurity and infrastructure protection systems. Distributed architectures, especially those supported by virtualization and cloud computing, along with other emerging technologies such as Game-based Learning (GBL), currently are a hot trend in educational and professional fields. Around this idea, a key is the concept of educational piece as meaning an element of instructional design where is including a suitable game. Therefore, each piece is characterized. These points among others allow us to plan the game-based lab design and to determine most appropriate time for each learning activity. Eventually, a game-piece-based architecture is able to deploy a kind of laboratories on cybersecurity and critical infrastructures, but that can be generalized for educational activities in other fields. This method provides a coherent reasoning to learning objectives and enough flexibility within a teaching program. In order to get a consistent and effective overcome, a laboratory implementation requires nowadays communication systems, hosts, some virtualization or cloud services, particularly for remote learning, but even for improving the traditional computer classrooms.",,978-1-4673-8246-5,10.1109/REV.2016.7444461,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7444461,distributed architecture;GBL;virtualization;cybersecurity;critical infrastructures,Games;Computer security;Computer architecture;Cloud computing;Training;Virtualization,,8.0,,13.0,IEEE,2016-03-31,24-26 Feb. 2016,24-26 Feb. 2016,IEEE,IEEE Conferences
True,True,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,A Resource Management Model for Real-time Edge System of Multiple Robots,Z. Hu; J. Niu; T. Ren; H. Li; Y. Rui; Y. Qiu; L. Bai,"Beijing Advanced Innovation Center for Big Data and Brain Computing (BDBC), Beihang University, Beijing, China; Beijing Advanced Innovation Center for Big Data and Brain Computing (BDBC), Beihang University, Beijing, China; Beijing Advanced Innovation Center for Big Data and Brain Computing (BDBC), Beihang University, Beijing, China; Beijing Advanced Innovation Center for Big Data and Brain Computing (BDBC), Beihang University, Beijing, China; Shanghai Aerospace Technology Institute, Shanghai, China; Shanghai Aerospace Technology Institute, Shanghai, China; Shanghai Aerospace Technology Institute, Shanghai, China",2020 7th IEEE International Conference on Cyber Security and Cloud Computing (CSCloud)/2020 6th IEEE International Conference on Edge Computing and Scalable Cloud (EdgeCom),2020-08-19,2020.0,,,222.0,227.0,"Industrial robots are playing an important role in now a day industrial productions. However, due to the increasing in robot hardware modules and the rapid expansion of software modules, the reliability of operating systems for industrial robots is facing severe challenges, especially for the light-weight edge computing platforms. Based on current technologies on resource security isolation protection and access control, a novel resource management model for real-time edge system of multiple robot arms is proposed on light-weight edge devices. This novel resource management model can achieve the following functions: mission-critical resource classification, resource security access control, and multi-level security data isolation transmission. We also propose a fault location and isolation model on each lightweight edge device, which ensures the reliability of the entire system. Experimental results show that the robot operating system can meet the requirements of hierarchical management and resource access control. Compared with the existing methods, the fault location and isolation model can effectively locate and deal with the faults generated by the system.",,978-1-7281-6550-9,10.1109/CSCloud-EdgeCom49738.2020.00046,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9171005,Resource isolation;Edge computing;Robot operating system;Resource access control;Fault detection,Access control;Cloud computing;Service robots;Operating systems;Computational modeling;Conferences;Fault location,,1.0,,22.0,IEEE,2020-08-19,1-3 Aug. 2020,1-3 Aug. 2020,IEEE,IEEE Conferences
False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A Comprehensive Approach to Cryptography and Security Testing in Network Defence,T. Nathiya; B. Mahalakshmi; K. K. Savitha; S. Pal; A. A. Khan; R. Kumar,"SRM Institute of Science and Technology, Kattankulathur, India; Department of Computer Science, Faculty of Science and Humanities, SRM University, Chennai, India; Department of Computer Applications, PG Extension and Research Centre, Bharathiar University, Perundurai, India; Saveetha College of Liberal Arts and Sciences, Saveetha Institute of Medical and Technical Sciences, Chennai, India; Faculty of Islamic Technology, Negara Brunei Darussalam; Division of R&D, Lovely Professional University, Phagwara",2024 International Conference on Emerging Trends in Networks and Computer Communications (ETNCC),2024-12-04,2024.0,,,1.0,6.0,"Increasing security measures are necessary because of the rapid changes occurring in the field of network defense. The best way to prevent hackers from gaining access to private information is to combine encryption with security testing to ensure that holes may be found and fixed before they are exploited. The ever-changing and complex nature of cyber threats, the requirement of constant monitoring, the introduction of encryption techniques, and the efficient application of security testing practices all pose difficulties in this field. It's a complex task to strike a balance between these factors and develop a comprehensive plan for network defense. Furthermore, the research unveils the Cryptography-Enhanced Security Testing Framework (C-ESTF), a novel method for integrating encryption and security testing into the practice of network defense. To protect data transmission channels, locate shortcomings, and establish up continuous monitoring for real-time threat detection and response, C-SEC combines cryptographic protocols, dynamic key management, and cutting-edge security testing modules. It has many uses, including protecting against many types of cyber threats, exchanging data securely, responding to incidents, and complying with regulations. C-SEC's effectiveness in practical network defense scenarios will be evaluated by extensive simulation studies. The framework's flexibility, robustness, and efficiency in protecting network assets and data will be evaluated by subjecting it to simulated threats, security breaches, and different attack vectors. The analysis' findings will provide light on C-SEC's applicability and consequentialness in the real world.",,979-8-3503-5326-6,10.1109/ETNCC63262.2024.10767436,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10767436,Cryptography;Security;Network Defense;Testing Framework;Network Defence,Vectors;Robustness;Real-time systems;Threat assessment;Encryption;Security;Data communication;Monitoring;Testing;Cryptographic protocols,,,,28.0,IEEE,2024-12-04,23-25 July 2024,23-25 July 2024,IEEE,IEEE Conferences
True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aerial Intruder Interception Based on Threat Classification for Enhanced Situational Awareness,E. Khanapuri; A. Chakraborty; R. Thayer; J. Ammapalli; J. Liu; S. W. Lin; J. Yadegar,UtopiaCompression Corporation; UtopiaCompression Corporation; UtopiaCompression Corporation; UtopiaCompression Corporation; UtopiaCompression Corporation; UtopiaCompression Corporation; UtopiaCompression Corporation,"2025 IEEE/ION Position, Location and Navigation Symposium (PLANS)",2025-06-12,2025.0,,,1488.0,1499.0,"Intent classification of Unmanned Aerial Vehicles (UAVs) either as a standalone vehicle or in swarm is extremely important in the current world. With the rise in autonomy of these platforms, there have been several instances where UAVs have, instead of providing benefit, been a nuisance and created chaos and confusion. Activity classification for threat assessment of UAVs is a relatively new area where different types of machine learning models are been tested. In this paper, the authors have provided a methodology to passively perform intent classification and a comparative study of different classification models namely Hidden Markov Model (HMM), Convolutional Neural Network - Long Short Term Memory (CNN-LSTM), Gramian Angular fields (GAF) with CNN and Transformers have been performed for action classification for threat identification. Additionally, the authors have developed a simulator using ROS and Gazebo to deploy these models in simulation along with a resource allocation and target interception framework to demonstrate an actionable and intelligent as well as automated Counter-UAS system.",2153-3598,979-8-3315-2317-6,10.1109/PLANS61210.2025.11028314,Small Business Technology Transfer; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11028314,intent classification;threat identification;Counter-UAS;CNN;LSTM;GAF;Transformers;PN-guidance;Voronoi Diagrams,Chaos;Intent recognition;Navigation;Hidden Markov models;Machine learning;Transformers;Threat assessment;Convolutional neural networks;Resource management;Long short term memory,,,,29.0,IEEE,2025-06-12,28 April-1 May 2025,28 April-1 May 2025,IEEE,IEEE Conferences
False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stealthy and Practical Multi-modal Attacks on Mixed Reality Tracking,Y. Chandio; N. Bashir; F. M. Anwar,University of Massachusetts Amherst; Massachusetts Institute of Technology; University of Massachusetts Amherst,2024 IEEE International Conference on Artificial Intelligence and eXtended and Virtual Reality (AIxVR),2024-02-28,2024.0,,,11.0,20.0,"Mixed Reality (MR) is rapidly becoming an essential technology for critical applications such as physical therapy and surgery, in addition to its early use for leisure activities. This transition necessitates a focused look at the security aspects of MR devices and applications. Prior work on MR security focuses on generic aspects such as secure authentication and vulnerability analysis. However, MR devices are multi-modal and spatiotemporal, which exposes them to attacks on sensor modalities across spatiotemporal axes. Prior work has demonstrated attacks on individual sensing streams, but modern, state-of-the-art sensor fusion-based tracking algorithms can easily mitigate such attacks.In this paper, we introduce a practical attack surface; it simultaneously launches attacks on multiple sensing streams across spatiotemporal axes to yield effective, stealthy, and precise outcomes. To the best of our knowledge, our work is the first to propose, design, and evaluate simultaneous multi-modal spatiotemporal attacks. In doing so, we solve key challenges in deciding what attack mechanisms to use, when to launch attacks, and how to configure attacks. Using the tracking and navigation use case of a user wearing an MR headset in real-world settings, we demonstrate the effectiveness of our attacks over the user’s trajectory in the presence of state-of-the-art sensor fusion-based tracking algorithms and system checks.",2771-7453,979-8-3503-7202-1,10.1109/AIxVR59861.2024.00010,National Science Foundation; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10445560,mixed reality;tracking;sensor fusion;hololens,Mixed reality;Virtual reality;Spatiotemporal phenomena;Sensors;Trajectory;Security;Streams,,3.0,,79.0,IEEE,2024-02-28,17-19 Jan. 2024,17-19 Jan. 2024,IEEE,IEEE Conferences
False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Service Robot Security from Unauthorized Access by Connection Control,M. N. Zhukova; V. V. Zolotarev; V. G. Zhukov; A. S. Polyakova,"Department of Information Technologies Security, Reshetnev Siberian State University of Science and Technology, Krasnoyarsk, Russia; Department of Information Technologies Security, Reshetnev Siberian State University of Science and Technology, Krasnoyarsk, Russia; Department of Information Technologies Security, Reshetnev Siberian State University of Science and Technology, Krasnoyarsk, Russia; NTTM Center, Reshetnev Siberian State University of Science and Technology, Krasnoyarsk, Russia",2019 12th International Conference on Developments in eSystems Engineering (DeSE),2020-04-23,2019.0,,,526.0,529.0,"In connection with mass introduction of robots in various spheres of activity, and also absence of due attention to such factor as safety, the probability of unauthorized access to their blocks of management raises. Typical decisions on safety maintenance by introduction of information security systems are not suitable for the robotized platforms in view of their capacities limitation. Thus, there is a problem of providing protection of the control unit of robotic platforms from various threats. The results of the analysis of possible approaches to the formation of a list of threats and vulnerabilities of the robotic platform are shown. The list of threats corresponding to current Russian legal system are given. Algorithms for secure interaction with a robotic platform have been developed. The results of testing countermeasures on an initially unprotected research robotic platform using the NI MyRio 1900 controller are shown. Research results can be useful both for scientific tasks in protecting against theft and distortion of research results, and for production tasks related to the security of service robots.",2161-1351,978-1-7281-3021-7,10.1109/DeSE.2019.00102,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9073213,robotized platform;threat;information security;unauthorized access,Service robots;Password;Software;Safety;Authentication,,,,25.0,IEEE,2020-04-23,7-10 Oct. 2019,7-10 Oct. 2019,IEEE,IEEE Conferences
False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Robust Cybersecurity for Autonomous Vehicles Using Particle Filter Based Anomaly Detection,R. Thomas; M. Van; M. Dianati; K. Olayemi; W. Ding,"School of Electronics, Electrical Engineering and Computer Science, Queen's University Belfast, Belfast, United Kingdom; School of Electronics, Electrical Engineering and Computer Science, Queen's University Belfast, Belfast, United Kingdom; School of Electronics, Electrical Engineering and Computer Science, Queen's University Belfast, Belfast, United Kingdom; School of Electronics, Electrical Engineering and Computer Science, Queen's University Belfast, Belfast, United Kingdom; School of Electronics, Electrical Engineering and Computer Science, Queen's University Belfast, Belfast, United Kingdom",IECON 2025 – 51st Annual Conference of the IEEE Industrial Electronics Society,2025-11-06,2025.0,,,1.0,6.0,"This paper addresses the critical challenge of detecting and interpreting cybersecurity anomalies in Autonomous Vehicles (AVs) under high-frequency cyberattacks using a Particle filter. In this approach, we leverage the power of Particle filter-based state estimation, combining it with suitably defined thresholds and anomaly detection metrics to detect cyberattacks. In addition, to demonstrate the superior performance of the Particle filter for cyberattack detection, a comparison between the Kalman filter and the Particle filter has been conducted. The simulation results performed on the HuskyA200 autonomous ground vehicle (AGV) demonstrated that the Particle filter provides superior performance and interpretability during high-frequency attacks compared to the Kalman filter. The feedback from Particle filter-based detection can help the control functions of the vehicle, such as velocity damping and orientation correction, mitigate attack impacts for real-time operation.",,979-8-3315-9681-1,10.1109/IECON58223.2025.11221482,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11221482,Autonomous Vehicles;Anomaly detection;Kalman Filter;Particle Filter;LiDAR;Cyberattacks;safety and security;Machine Learning;sensor attack;cyber attack detection;Denial-Of-Service (DoS) attacks;High-Frequency attacks,Damping;Uncertainty;Particle filters;Stability analysis;Safety;Kalman filters;Computer crime;State estimation;Anomaly detection;Autonomous vehicles,,,,18.0,IEEE,2025-11-06,14-17 Oct. 2025,14-17 Oct. 2025,IEEE,IEEE Conferences
False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Prediction of Probability of Server Intrusion Using Machine Learning Techniques,A. Kumar; I. Sharma,"Chitkara University Institute of Engineering and Technology, Chitkara University, Punjab, India; Chitkara University Institute of Engineering and Technology, Chitkara University, Punjab, India",2023 2nd International Conference on Futuristic Technologies (INCOFT),2024-02-22,2023.0,,,1.0,6.0,"This research paper offers a comprehensive examination of the phenomenon of hostile server incursions in the field of cybersecurity. Given the increasing frequency and complexity of cyber threats, it is crucial to comprehend the subtleties of these assaults in order to design effective responses. This paper investigates several forms of malevolent server breaches, examining their methodology and probable ramifications. Considerable importance is attributed to the identification of new patterns and developing attack routes, hence illuminating the dynamic characteristics inherent in cyber threats. Furthermore, the present study puts forward a set of complete countermeasures, using state-of-the-art technology and strategic methodologies, with the aim of strengthening server defenses. Through the integration of empirical data and the use of sophisticated analytical methods, our study endeavors to provide significant contributions in terms of meaningful insights for professionals in the field of cybersecurity, policymakers, and fellow researchers. This study aims to improve the robustness of servers and minimize the consequences of hostile incursions in the rapidly growing digital environment, which is seeing a rise in attacks on digital assets.",,979-8-3503-0884-6,10.1109/INCOFT60753.2023.10425704,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10425704,Network intrusion Attack;Cyberattacks;Malicious Server Attack;Decision Tree;Random Forest;Techniques;Security;K-nearest Neighbors;Server Hack,Computer hacking;Machine learning;Forestry;Robustness;Complexity theory;Servers;Network intrusion,,3.0,,15.0,IEEE,2024-02-22,24-26 Nov. 2023,24-26 Nov. 2023,IEEE,IEEE Conferences
False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Autonomous Reconnaissance and Attack Test of UAV Swarm Based on Mosaic Warfare Thought,D. Qi; J. Zhang; X. Liang; Z. Li; J. Zuo; P. Lei,"Aviation Swarm Technology and Operational Application Laboratory, Air Force Engineering University, Xi'an, China; Aviation Swarm Technology and Operational Application Laboratory, Air Force Engineering University, Xi'an, China; Aviation Swarm Technology and Operational Application Laboratory, Air Force Engineering University, Xi'an, China; Aviation Swarm Technology and Operational Application Laboratory, Air Force Engineering University, Xi'an, China; Aviation Swarm Technology and Operational Application Laboratory, Air Force Engineering University, Xi'an, China; Aviation Swarm Technology and Operational Application Laboratory, Air Force Engineering University, Xi'an, China",2021 6th International Conference on Robotics and Automation Engineering (ICRAE),2022-01-04,2021.0,,,79.0,83.0,"Mosaic warfare is a new type of combat concept proposed by the U.S. army for the information, intelligent, and unmanned warfare in the future. Its goal is to form an asymmetric advantage over the major combat opponents. Based on the analysis of the background of mosaic warfare, this paper summarizes the basic characteristics of it and compares it with UAV swarm operation, and concludes the similarities between them. Finally, by completing an autonomous reconnaissance and attack test of UAV swarm, the role completed by the corresponding nodes in the task process are described, which makes the UAV swarm operation concept more vivid and clear. It also partially verifies the feasibility of mosaic warfare.",,978-1-6654-0697-0,10.1109/ICRAE53653.2021.9657810,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9657810,mosaic warfare;uav swarm;autonomous reconnaissance and attack;nodes,Automation;Reconnaissance;Task analysis,,7.0,,14.0,IEEE,2022-01-04,19-22 Nov. 2021,19-22 Nov. 2021,IEEE,IEEE Conferences
False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Finite-Time Nonfragile H∞ Consensus Fuzzy Filtering for Multi-AAV Target Estimation Against Selective-Data-Based Network Attacks,K. Miao; C. Wang; Y. Niu; H. Zhang; H. Yu,"College of Intelligence Science and Technology, National University of Defense Technology, Changsha, Hunan, China; College of Intelligence Science and Technology, National University of Defense Technology, Changsha, Hunan, China; College of Intelligence Science and Technology, National University of Defense Technology, Changsha, Hunan, China; College of Intelligence Science and Technology, National University of Defense Technology, Changsha, Hunan, China; College of Intelligence Science and Technology, National University of Defense Technology, Changsha, Hunan, China",IEEE Transactions on Information Forensics and Security,2025-09-26,2025.0,20.0,,9920.0,9935.0,"Complex environments pose significant challenges to the consensus estimation of ground targets by multiple autonomous aerial vehicles (multi-AAVs) with limited sensing capabilities. This paper addresses the design of an  $H_{\infty } $  consensus fuzzy filter over a finite-time horizon, that is subject to selective network attacks and stochastic incomplete measurements. First, a novel selective-data-based (SDB) network attack model is proposed. Unlike conventional models, this model is constructed from the attacker’s perspective to mimic attacks that target high-value data, thereby maximizing its destructive potential. Second, incomplete measurements, arising from factors such as limited AAV sensing ranges and target motion, are modeled by using a set of random variables to characterize the stochastic nature of data loss. Furthermore, an  $H_{\infty } $  consensus fuzzy filter is developed to achieve precise consensus estimation of the target with finite-time performance, thereby forming a unified attack-defense architecture. Sufficient conditions for the existence of such a filter are established in the form of linear matrix inequalities (LMIs), from which the filter gains can be derived. Finally, the effectiveness and superiority of the proposed design are validated through both numerical simulations and physical experiments.",1556-6021,,10.1109/TIFS.2025.3598938,"Natural Science Foundation of China (NSFC)(grant numbers:62576349,61876187); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11124930,H∞ consensus fuzzy filtering;multiple autonomous aerial vehicles (multi-AAVs);selective-data-based (SDB) network attacks;finite-time horizon;incomplete measurement,Autonomous aerial vehicles;Filtering theory;Symmetric matrices;Denial-of-service attack;Stochastic processes;Sensors;Mathematical models;Data models;State estimation;Stability analysis,,2.0,,35.0,IEEE,2025-08-14,2025,,IEEE,IEEE Journals
True,True,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,Detecting Lifecycle-Related Concurrency Bugs in ROS Programs via Coverage-Guided Fuzzing,S. -M. Gao; P. Wang; J. -J. Bai; J. -W. Yu; H. Wang,"School of Cyber Science and Technology, Beihang University, Beijing, China; School of Cyber Science and Technology, Beihang University, Beijing, China; School of Cyber Science and Technology, Beihang University, Beijing, China; School of Cyber Science and Technology, Beihang University, Beijing, China; School of Cyber Science and Engineering, Sichuan University, Chengdu, China",IEEE Transactions on Information Forensics and Security,2025-08-01,2025.0,20.0,,7940.0,7953.0,"Robot Operating System (ROS) is very popular in robotic software development. To ease the process management of ROS programs, ROS provides a special lifecycle mechanism that can conveniently manage the state of each running process, which often involves resource allocation, initialization, and release; and this mechanism has been widely used in real-world ROS programs. However, due to code concurrency of ROS programs, a lifecycle-related function is inevitably concurrently executed with other functions, introducing the security risk of dangerous concurrency bugs involving null-pointer dereference and use after free. Due to the non-determinism of thread scheduling, these concurrency bugs are difficult to find and reproduce. In this paper, we design and implement a new coverage-guided fuzzing framework named ROCF, which can effectively detect and reproduce lifecycle-related concurrency bugs in ROS programs, with two novel techniques. First, we propose a lifecycle-aware fuzzing approach that uses lifecycle pair sequence as a new coverage metric to effectively describe lifecycle-related thread interleavings, for input-mutation guidance of ROS concurrency fuzzing. Second, we propose a heuristic-based reproducing method that identifies minimal input sequences that can stably and efficiently reproduce the found concurrency bugs, with strategical input pruning and delay injection. We evaluate ROCF on eight popular robotic programs in ROS2, and it finds 32 new and real concurrency bugs, all of which have been confirmed by ROS developers, and 19 have been assigned CVE IDs.",1556-6021,,10.1109/TIFS.2025.3592562,Beijing Natural Science Foundation(grant numbers:4252019); National Key Research and Development Program of China(grant numbers:2023YFC3805404); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11095749,Robotic operating system;lifecycle;coverage-guided fuzzing;thread interleaving;concurrency bug,Computer bugs;Concurrent computing;Fuzzing;Instruction sets;Robots;Resource management;Security;Operating systems;Electronic mail;Codes,,,,53.0,IEEE,2025-07-24,2025,,IEEE,IEEE Journals
False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mitigation of Camouflaged Adversarial Attacks in Autonomous Vehicles–A Case Study Using CARLA Simulator,Y. R. Martinez; C. Brady; A. Solanki; W. A. Amiri; S. R. Hasan; T. N. Guo,"College of Engineering, Tennessee Technological University, Cookeville, TN; College of Engineering, Tennessee Technological University, Cookeville, TN; College of Engineering, Tennessee Technological University, Cookeville, TN; College of Engineering, Tennessee Technological University, Cookeville, TN; College of Engineering, Tennessee Technological University, Cookeville, TN; College of Engineering, Tennessee Technological University, Cookeville, TN",2025 IEEE International Symposium on Circuits and Systems (ISCAS),2025-06-27,2025.0,,,1.0,5.0,"Autonomous vehicles (AVs) rely heavily on cameras and artificial intelligence (AI) to make safe and accurate driving decisions. However, since AI is the core enabling technology, this raises serious cyber threats that hinder the large-scale adoption of AVs. Therefore, it is crucial to analyze the resilience of AV security systems against sophisticated attacks that manipulate camera inputs and deceive AI models. In this paper, we develop camera-camouflaged adversarial attacks and asses their impact on traffic sign recognition (TSR) in AVs. Specifically, the camera-camouflaged attacks are initiated by modifying the texture of a stop sign to fool the AV’s object detection system, thereby affecting the AV actuators. The attacks’ effectiveness is tested using the CARLA AV simulator, and the results show that such attacks can delay the auto-braking response to the stop sign, resulting in potentially catastrophic situations. We conduct extensive experiments under various conditions and on different CARLA maps, confirming that the proposed attacks are effective and robust. Then, two defense strategies are presented to mitigate the effect of camera-camouflaged attacks on the stop sign recognition. The proposed attack and defense methods are applicable to other end-to-end trained autonomous cyber-physical systems.",2158-1525,979-8-3503-5683-0,10.1109/ISCAS56072.2025.11044132,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11044132,Autonomous vehicles (AVs);camera perception;camouflaged adversarial attacks;traffic sign recognition (TSR);and CARLA simulator,Circuits and systems;Prevention and mitigation;Object detection;Cyber-physical systems;Cameras;Delays;Security;Artificial intelligence;Autonomous vehicles;Resilience,,2.0,,21.0,IEEE,2025-06-27,25-28 May 2025,25-28 May 2025,IEEE,IEEE Conferences
False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Guardauto: A Decentralized Runtime Protection System for Autonomous Driving,K. Cheng; Y. Zhou; B. Chen; R. Wang; Y. Bai; Y. Liu,"School of Computer Science and Engineering, Beihang University, Beijing, China; School of Computer Science and Engineering, Nanyang Technological University, Singapore; School of Computer Science, Fudan University, Shanghai, China; School of Computer Science and Engineering, Beihang University, Beijing, China; School of Computer Science and Engineering, Beihang University, Beijing, China; School of Computer Science and Engineering, Nanyang Technological University, Singapore",IEEE Transactions on Computers,2021-09-07,2021.0,70.0,10.0,1569.0,1581.0,"Due to the broad attack surface and the lack of runtime protection, potential safety and security threats hinder the real-life adoption of autonomous vehicles. Although efforts have been made to mitigate some specific attacks, there are few works on the protection of the autonomous driving system, i.e., the control software system performing such as perception, decision making, and motion tracking. This article presents a decentralized self-protection framework called Guardauto to protect the autonomous driving system against runtime threats. First, Guardauto proposes an isolation model to decouple the autonomous driving system and isolate its components with a set of partitions. Second, Guardauto provides self-protection mechanisms for each target component, which combines different methods to monitor the target execution and plan adaption actions accordingly. Third, Guardauto provides cooperation among local self-protection mechanisms to identify the root-cause component in the case of cascading failures affecting multiple components. A prototype has been implemented and evaluated on the open-source autonomous driving system Autoware. Results show that Guardauto could effectively mitigate runtime failures and attacks, and protect the control system with acceptable performance overhead.",1557-9956,,10.1109/TC.2020.3018329,"National Key Research and Development Program of China(grant numbers:2018YFB0203901); National Science Foundation of China(grant numbers:61572062,61732002); National Defense Pre-research Project of China(grant numbers:315075109); National Cyber-security R&D (NCR) programme(grant numbers:NRF2014NCR-NCR001-30,NRF2018NCR-NCR005-0001); National Satellite of Excellence in Trustworthy Software Systems(grant numbers:NSOE003-0001); NRF Investigatorship(grant numbers:NRFI06-2020-0022); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9172045,Autonomous driving systems;self-adaptive systems;decentralized systems;virtualization;runtime protection,Runtime;Autonomous vehicles;Software;Security;Sensors;Autonomous automobiles;Safety,,7.0,,45.0,IEEE,2020-08-20,2021-10-01 00:00:00,,IEEE,IEEE Journals
False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Exposing Adaptive Cruise Control in Advanced Driving Assistance Systems,M. A. Hoque; R. Hasan,"Dept. of Computer Science, University of Alabama at Birmingham, Birmingham, AL, USA; Dept. of Computer Science, University of Alabama at Birmingham, Birmingham, AL, USA",2022 IEEE 8th World Forum on Internet of Things (WF-IoT),2023-06-22,2022.0,,,1.0,6.0,"Advanced Driving Assistance Systems (ADAS) are expected to improve the urban driving experience by reducing accidents and enabling safe driving. Such systems provide different features to automate driving and ease the driver's tasks. ADAS features highly depend on the data received from in-vehicle networks, such as Controller Area Network (CAN) bus. CAN play an important role in in-vehicle communication by enabling efficient data exchange among electronic control units (ECUs). However, the CAN bus is vulnerable to different attack strategies, which can manipulate CAN data and cause fatal consequences on ADAS features. This paper shows how CAN bus data can be exploited to expose an industry-grade advanced driving assistance system's Adaptive Cruise Control (ACC) feature. The attack technique demonstrates the requirements of timely human intervention or automatic recovery techniques. We also provide a detection mechanism based on the high-definition vector map and Global Positioning System device installed in the vehicle.",,978-1-6654-9153-2,10.1109/WF-IoT54382.2022.10152232,"National Science Foundation(grant numbers:ACI-1642078,CNS-1351038); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10152232,advanced driving assistance systems;adaptive cruise control;controller area network;security;HD map,Adaptive systems;Internet of Things;Task analysis;Cruise control;Global Positioning System;Accidents,,3.0,,17.0,IEEE,2023-06-22,26 Oct.-11 Nov. 2022,26 Oct.-11 Nov. 2022,IEEE,IEEE Conferences
